0,user_0,1,1
1,user_1,1,1
2,user_2,1,1
3,user_3,1,0
4,user_4,1,0
5,user_5,1,1
6,user_6,1,1
7,user_7,1,1
8,user_8,1,1
9,user_9,1,1
10,user_10,1,1
11,user_11,1,1
12,user_12,1,1
13,user_13,1,1
14,user_14,0,1
15,user_15,1,1
16,user_16,1,0
17,user_17,0,1
18,user_18,1,1
19,user_19,1,0
20,user_20,1,1
21,user_21,1,1
22,user_22,1,1
23,user_23,1,0
24,user_24,1,1
25,user_25,1,1
26,user_26,1,0
27,user_27,1,0
28,user_28,1,1
29,user_29,1,1
30,user_30,1,0
31,user_31,1,1
32,user_32,1,0
33,user_33,1,0
34,user_34,1,1
35,user_35,0,1
36,user_36,1,0
37,user_37,0,1
38,user_38,0,1
39,user_39,1,0
40,user_40,1,1
41,user_41,1,0
42,user_42,1,1
43,user_43,1,1
44,user_44,1,1
45,user_45,1,1
46,user_46,1,1
47,user_47,1,1
48,user_48,0,1
49,user_49,0,1
50,user_50,1,1
51,user_51,1,1
52,user_52,1,1
53,user_53,1,1
54,user_54,1,1
55,user_55,1,0
56,user_56,1,1
57,user_57,1,1
58,user_58,0,1
59,user_59,1,1
60,user_60,1,1
61,user_61,1,1
62,user_62,1,1
63,user_63,1,0
64,user_64,1,0
65,user_65,1,1
66,user_66,1,0
67,user_67,1,1
68,user_68,0,1
69,user_69,1,0
70,user_70,1,0
71,user_71,1,1
72,user_72,0,1
73,user_73,0,1
74,user_74,1,1
75,user_75,1,0
76,user_76,1,1
77,user_77,1,1
78,user_78,1,1
79,user_79,0,1
80,user_80,0,1
81,user_81,1,1
82,user_82,1,1
83,user_83,0,1
84,user_84,1,1
85,user_85,1,1
86,user_86,1,1
87,user_87,1,1
88,user_88,1,1
89,user_89,1,1
90,user_90,1,1
91,user_91,1,1
92,user_92,1,1
93,user_93,1,1
94,user_94,1,1
95,user_95,1,1
96,user_96,1,1
97,user_97,1,1
98,user_98,1,1
99,user_99,1,1
